list_offer,id,crypto_price,usd_price,from,to,time,collection,rarity,qty
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     17m ago                    ,,,
                     List                    ,2819,                        61.6969 ETH                       ,"$108,214.51 ",                      franklinisbored                     ,                    ---                   ,                     41m ago                    ,,,
                     List                    ,3055,                        61.4999 ETH                       ,"$107,868.98 ",                      franklinisbored                     ,                    ---                   ,                     41m ago                    ,,,
                     List                    ,7992,                        62.6262 ETH                       ,"$109,844.48 ",                      franklinisbored                     ,                    ---                   ,                     41m ago                    ,,,
                     List                    ,6774,                        61.4999 ETH                       ,"$107,868.98 ",                      franklinisbored                     ,                    ---                   ,                     41m ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     35m ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     15m ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     17m ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     5m ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     4h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     5h ago                    ,,,
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     5h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     5h ago                    ,,,
                     Offer                    ,3680,                        66 WETH                       ,"$115,762.02 ",                      1B57D4                     ,                    ---                   ,                     5h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     5h ago                    ,,,
                     Offer                    ,4158,                        60.200 WETH                       ,"$105,589.01 ",                      1B57D4                     ,                    ---                   ,                     5h ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     5h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     5h ago                    ,,,
                     List                    ,2781,                        65 ETH                       ,"$114,008.05 ",                      75B9FE                     ,                    ---                   ,                     4h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     4h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     7h ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,1008,                        65 WETH                       ,"$114,008.05 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,205,                        59.800 WETH                       ,"$104,887.41 ",                      XIAOFNAG                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,2819,                        59.780 WETH                       ,"$104,852.33 ",                      XIAOFNAG                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     8h ago                    ,,,
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     7h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     7h ago                    ,,,
                     List                    ,4876,                        189.500 ETH                       ,"$332,377.32 ",                      CryptomanCC-                     ,                    ---                   ,                     10h ago                    ,,,
                     List                    ,8343,                        88 ETH                       ,"$154,349.36 ",                      FollowtheWhitePeople                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,1357,                        72 WETH                       ,"$126,285.84 ",                      Lucidity-Friedman                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,8555,                        75.100 WETH                       ,"$131,723.15 ",                      Lucidity-Friedman                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,8343,                        65 WETH                       ,"$114,008.05 ",                      Lucidity-Friedman                     ,                    ---                   ,                     10h ago                    ,,,
                     List                    ,8343,                        88 ETH                       ,"$154,349.36 ",                      B12242                     ,                    ---                   ,                     10h ago                    ,,,
                     Offer                    ,1008,                        67.0001 WETH                       ,"$117,516.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     10h ago                    ,,,
                     List                    ,7976,                        75 ETH                       ,"$131,547.75 ",                      apekpg                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,1008,                        67.0001 WETH                       ,"$117,516.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,1008,                        67.0001 WETH                       ,"$117,516.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     12h ago                    ,,,
                     Offer                    ,1357,                        71.690 WETH                       ,"$125,742.11 ",                      4D41BA                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,1357,                        71 WETH                       ,"$124,531.87 ",                      Abe_monster                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,1421,                        64 WETH                       ,"$112,254.08 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,7964,                        67 WETH                       ,"$117,515.99 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,646,                        64.500 WETH                       ,"$113,131.07 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,85,                        61 WETH                       ,"$106,992.17 ",                      NFTinitcom_Digital-Fa...                     ,                    ---                   ,                     13h ago                    ,,,
                     List                    ,7923,                        76.400 ETH                       ,"$134,003.31 ",                      punksOTC3                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,4158,                        60.200 WETH                       ,"$105,588.99 ",                      Abe_monster                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,8555,                        75.042 WETH                       ,"$131,621.42 ",                      Abe_monster                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,3222,                        60.690 WETH                       ,"$106,448.44 ",                      4D41BA                     ,                    ---                   ,                     13h ago                    ,,,
                     Offer                    ,5484,                        60.250 WETH                       ,"$105,676.69 ",                      4D41BA                     ,                    ---                   ,                     13h ago                    ,,,
                     List                    ,72,                        72 ETH                       ,"$126,285.84 ",                      ZeroMolecules                     ,                    ---                   ,                     17h ago                    ,,,
                     List                    ,9466,                        68.880 ETH                       ,"$120,813.45 ",                      002B05                     ,                    ---                   ,                     17h ago                    ,,,
                     List                    ,6774,                        61.9999 ETH                       ,"$108,745.96 ",                      franklinisbored                     ,                    ---                   ,                     17h ago                    ,,,
                     Offer                    ,4356,                        69.690 WETH                       ,"$122,234.17 ",                      4D41BA                     ,                    ---                   ,                     18h ago                    ,,,
